id,name,city,state,lat,lng
6584,Starry Night Alpacas LLC,Lewisberry,PA,40.146060943603516,-76.89807891845703
20242,Linda's Alpacas,Grafton,OH,41.25825881958008,-82.02232360839844
6433,Spring Grove Alpaca Ranch,Quarryville,PA,39.87416076660156,-76.15354919433594
6821,Blue Ridge Alpaca Ranch LLC,Coon Valley,WI,43.811370849609375,-91.03166961669922
6281,Macedo's Mini Acre,Turlock,CA,37.449798583984375,-120.83072662353516
7018,Querencia,Medford,OR,42.27228927612305,-122.85816192626953
7252,Clear Mountain Alpacas LLC,Somers,CT,41.94866943359375,-72.48967742919922
9464,"Stoneberg Alpacas, LLC",Hillsboro,OR,45.44873809814453,-122.97384643554688
6978,Legendary Alpacas of Texas,Maypearl,TX,32.287010192871094,-97.0562515258789
8302,Hollywick Farms LLC,Sandia Park,NM,35.18865966796875,-106.30925750732422
8055,Full Tilt Alpacas,Wellington,OH,41.16836166381836,-82.08647918701172
7103,B I Bar Ranch,Colorado Springs,CO,39.112701416015625,-104.66327667236328
7171,Wellspring Acres Alpaca Farm ,Sarcoxie,MO,37.079280853271484,-94.1042709350586
11114,Swallow Hill Farm ,Hillsborough,NJ,40.48855972290039,-74.75579071044922
6805,Over Home Alpacas,Bethel,PA,40.47523880004883,-76.24101257324219
6906,Amazing Grace Alpaca Farm,Fremont,WI,44.196678161621094,-88.93035888671875
7231,Alpacas of the Heartland LLC,Fort Calhoun,NE,41.48154067993164,-96.07853698730469
6277,Outstanding Dreams Farm,Preston,MD,38.798580169677734,-75.85709381103516
6677,DJ's Classic Alpacas,Keller,TX,32.91033172607422,-97.2011489868164
8430,Alive N' Fuzzy Alpaca Farm,Bowling Green,KY,36.92953109741211,-86.53341674804688
7049,The Alpacas of Spring Acres,Zanesville,OH,40.043190002441406,-81.9298324584961
8317,Cardinal Creek Farm LLC,Edmond,OK,35.6669807434082,-97.65621185302734
6172,Flatland Ranch,Rose Hill,KS,37.51485061645508,-97.15293884277344
20010,"Snowy Range Alpacas, LLC",Greenacres,WA,47.605079650878906,-117.11579895019531
7632,Pura Vida Alpacas LLC,Eugene,OR,43.98023986816406,-123.03466796875
6528,Houchin Family Alpacas,Heyworth,IL,40.34199142456055,-88.94422912597656
6321,Good Time Ridge Farm,Augusta,WV,39.288429260253906,-78.55323791503906
7020,Green Slopes Alpacas,Canal Fulton,OH,40.867759704589844,-81.59175109863281
6639,"Twilight Alpacas, LLC",Spencer,NY,42.25096893310547,-76.50704193115234
8215,Windy Meadows Farm,Juneau,WI,43.357059478759766,-88.66034698486328
6785,Menagerie Hill Ranch,Vacaville,CA,38.45122146606445,-122.0000991821289
6545,"Pleasant Prairie Suri Alpacas, Fashions and Farm",Otis Orchards,WA,47.69430160522461,-117.12787628173828
6962,Northern Prairie Alpacas LLC,Sullivan,MO,38.27973175048828,-91.2979507446289
11595,Ku'u Home Ranch,Hawi,HI,20.235450744628906,-155.83047485351562
7956,Alpaca Evolution,Milton Keynes,Buckinghamshire,51.98499033784977,-0.8795224640616572
6463,Zena Suri Alpacas,Jay,OK,36.51131820678711,-94.84485626220703
7475,Log Cabin Alpacas,Harpursville,NY,42.170860290527344,-75.67456817626953
7351,Kandy Coated Alpacas LLC,Jacksonville,NC,34.83116912841797,-77.53064727783203
7686,Mountain Sky Ranch LLC,Berthoud,CO,40.27473068237305,-105.21983337402344
6363,"RayNay Alpaca Farm, LLC",Ruffin,NC,36.36220169067383,-79.5045166015625
7554,Heart & Soul Alpacas,Whitehall,MT,45.69987106323242,-112.2107162475586
21116,Red Hill Llamas & Alpacas,Ratliff City,OK,34.415191650390625,-97.50865173339844
6593,Two Crows Farm,Murphy,NC,35.183738708496094,-84.03500366210938
7364,Whistling Pines Ranch,Clayton,WI,45.27442932128906,-92.06227111816406
6483,Red Granite Ranch Ltd,Livermore,CO,40.93767166137695,-105.2839126586914
6726,"Sugar Hollow Farm Alpacas, LLC",Waynesboro,PA,39.78575563730952,-77.52987194061278
7707,Dancing Elk Alpacas,Pray,MT,45.33924102783203,-110.72834014892578
7105,Sweet Blossom Alpacas,Millen,GA,32.83250045776367,-81.89988708496094
21912,Vintage Alpacas,Brooklyn Heights,OH,41.41545104980469,-81.6792984008789
6680,Lodi Alpacas at Whistling Valley Farm,Lodi,WI,43.3408203125,-89.55683135986328
19849,Aquarius Alpacas,Greeley,CO,40.37287139892578,-104.7596435546875
6991,Chimera Ranch ,Bennett,CO,39.67543029785156,-104.4384765625
14221,Alpenwood Alpacas,Rockford,MN,45.06412041796832,-93.71229028701782
6516,Round Hill Alpacas,Coventry,CT,41.78810119628906,-72.32968139648438
7184,Sawdust Alpacas LLC,Fallon,NV,39.4268913269043,-118.85073852539062
8051,That'll Do Farm,Grafton,OH,41.237510681152344,-81.99545288085938
10702,"Paradise Alpacas dba Pacavil, LLC",Paradise,UT,41.57622146606445,-111.80963897705078
8416,Carrageen Suri Alpacas,Gray,ME,43.7872952175268,-70.14016014337538
7834,Violet Hill Farm,Lexington,KY,38.05754852294922,-84.31983947753906
6945,Two Hearts Alpaca Ranch,La Vernia,TX,29.385229110717773,-98.06729125976562
7301,Morning Beckons Farm LLC,Thompson,CT,42.00294876098633,-71.8188705444336
13909,Sky Ridge Alpacas,Terrebonne,OR,44.35419845581055,-121.16609954833984
8770,"Bedford's Lincoln Pike Alpaca Farm, LLC",Bedford,PA,40.00849151611328,-78.46556854248047
8894,Uinta Alpacas,Willard,UT,41.41720962524414,-112.04065704345703
6646,Sugarland Alpacas,Durango,IA,42.54719924926758,-90.8487777709961
8713,Red Gate Alpaca Farm,Dundas,MN,44.41231918334961,-93.22113037109375
8141,ThunderHead Alpacas,Wellington,CO,40.83427810668945,-105.0335693359375
6988,OnAgain OffAgain Farm LLC,Spartanburg,SC,34.9665412902832,-81.85955810546875
6720,Hasselbring's Harmony Ranch,Concordia,MO,39.024681091308594,-93.63807678222656
6822,"Ridge Valley Alpacas, LLC",Fairfield,VA,37.906429290771484,-79.29566955566406
